model,predictor,beta,se_naive,se_clustered,t_clustered,p_clustered,ci_lo,ci_hi,design_effect,n_pairs,n_unique_chars,df_resid
cl-tohoku/bert-base-japanese-char-v3,ppmi,-0.02147816377882334,0.0007972791902046087,0.0014741972723099214,-14.569395956871622,2.6438514509275276e-47,-0.02436759043255079,-0.018588737125095893,1.8490351816803254,200000,6203,6198
cl-tohoku/bert-base-japanese-char-v3,freq_diff,0.011979519771711309,0.000824404597311821,0.0019775848707556235,6.057651405440822,1.4622771742400778e-09,0.008103453425030287,0.015855586118392332,2.398803787853728,200000,6203,6198
cl-tohoku/bert-base-japanese-char-v3,stroke_diff,-0.016148000433303358,0.0008013926425893637,0.002133706264463365,-7.568052220798368,4.3408717122430227e-14,-0.020330064711651552,-0.011965936154955163,2.6624979455378943,200000,6203,6198
BAAI/bge-large-zh-v1.5,same_radical,0.00829132462700057,0.00016805224022900617,0.00029303355458636245,28.29479592773722,9.438932448363285e-166,0.0077169788600113,0.008865670393989842,1.7437051370873915,200000,6203,6198
BAAI/bge-large-zh-v1.5,ppmi,0.006125031027984138,0.00016336472433745006,0.00019772502572939886,30.9775204498731,5.05571375926593e-196,0.005737489977554517,0.006512572078413759,1.2103287691470854,200000,6203,6198
BAAI/bge-large-zh-v1.5,freq_diff,8.880924856720233e-05,0.00016892279572455554,0.0001824718524252347,0.4867010850541493,0.626487385735102,-0.0002688355821862577,0.00044645407932066233,1.0802085748259351,200000,6203,6198
BAAI/bge-large-zh-v1.5,stroke_diff,-0.0001354547855985141,0.00016420758217591724,0.00016977921936069603,-0.7978290046836671,0.425000292298651,-0.00046822205554547834,0.00019731248434845012,1.033930450171356,200000,6203,6198
glyph_only/resnet18,same_radical,0.026788188089458632,0.0003174546948314236,0.0005757598143631175,46.52667209692405,0.0,0.025659698853306923,0.02791667732561034,1.8136755377609406,200000,6203,6198
glyph_only/resnet18,ppmi,0.001061822777662473,0.00030859986537575207,0.0003429185527663192,3.0964284932872936,0.001967417903273997,0.0003897024142404874,0.0017339431410844587,1.1112077199022126,200000,6203,6198
glyph_only/resnet18,freq_diff,-0.002478429323068065,0.0003190991949511295,0.0004538685183446083,-5.460676876439071,4.9275225149616484e-08,-0.003368011619023497,-0.0015888470271126325,1.4223430379199764,200000,6203,6198
glyph_only/resnet18,stroke_diff,-0.014640206736860688,0.0003101920439598177,0.0005296862233213763,-27.639394970591944,1.1279918078394308e-158,-0.015678391734570585,-0.013602021739150792,1.707607379478733,200000,6203,6198
Qwen/Qwen2.5-3B,same_radical,0.009248076260188077,0.00013024936808856598,0.0002598262134219987,35.59331500231558,1.201524039050163e-252,0.008738816881880959,0.009757335638495195,1.9948366524536538,200000,6203,6198
Qwen/Qwen2.5-3B,ppmi,0.0066788696235519805,0.0001266162955276272,0.0001981831033347247,33.7004997457911,9.063679316113e-229,0.00629043074101592,0.007067308506088041,1.5652258858851376,200000,6203,6198
Qwen/Qwen2.5-3B,freq_diff,-0.0012837839528320701,0.00013092409460828874,0.00015984630187640612,-8.0313647407664,1.1446320217280482e-15,-0.001597082704509826,-0.0009704852011543141,1.2209082091012324,200000,6203,6198
Qwen/Qwen2.5-3B,stroke_diff,-0.001276620792591155,0.0001272695548992324,0.00014658804562041157,-8.708901105735137,3.885833009715517e-18,-0.0015639333620071617,-0.0009893082231751484,1.1517919249146027,200000,6203,6198
hfl/chinese-macbert-base,same_radical,0.006515001455866152,0.000320367935961734,0.00040665610887811527,16.020911314574292,1.2371295737269612e-56,0.0057179554824650465,0.007312047429267258,1.2693408522839436,200000,6203,6198
