model,src_radical,tgt_radical,n_src_chars,top10_target_rate,baseline_rate,lift
xlm-roberta-base,9,46,30,0.04,0.012686330478908976,3.153
xlm-roberta-base,9,50,30,0.01,0.006977481763399937,1.4331818181818181
xlm-roberta-base,9,53,30,0.013333333333333334,0.0074532191563590235,1.788936170212766
xlm-roberta-base,9,57,30,0.0033333333333333335,0.004123057405645417,0.8084615384615386
xlm-roberta-base,9,60,30,0.01,0.006184586108468126,1.616923076923077
xlm-roberta-base,9,61,30,0.06666666666666667,0.03330161750713606,2.001904761904762
xlm-roberta-base,9,62,30,0.013333333333333334,0.003805899143672693,3.5033333333333334
xlm-roberta-base,9,64,30,0.07,0.05090390104662226,1.3751401869158881
xlm-roberta-base,9,66,30,0.01,0.005391690453536315,1.8547058823529412
xlm-roberta-base,9,72,30,0.05,0.01569933396764986,3.1848484848484846
xlm-roberta-base,9,75,30,0.04,0.047573739295908656,0.8408000000000001
xlm-roberta-base,9,76,30,0.0033333333333333335,0.003171582619727244,1.051
xlm-roberta-base,9,78,30,0.013333333333333334,0.003171582619727244,4.204
xlm-roberta-base,9,85,30,0.1,0.06454170631144941,1.5493857493857495
xlm-roberta-base,9,86,30,0.04,0.021408182683158895,1.8684444444444446
xlm-roberta-base,9,93,30,0.006666666666666667,0.003805899143672693,1.7516666666666667
xlm-roberta-base,9,94,30,0.01,0.010466222645099905,0.9554545454545454
xlm-roberta-base,9,96,30,0.03666666666666667,0.01665080875356803,2.202095238095238
xlm-roberta-base,9,102,30,0.02,0.005550269584522677,3.6034285714285716
xlm-roberta-base,9,104,30,0.013333333333333334,0.013954963526799874,0.9554545454545454
xlm-roberta-base,9,108,30,0.006666666666666667,0.004123057405645417,1.6169230769230771
xlm-roberta-base,9,109,30,0.016666666666666666,0.012210593085949888,1.364935064935065
xlm-roberta-base,9,112,30,0.016666666666666666,0.013320647002854425,1.2511904761904762
xlm-roberta-base,9,113,30,0.03,0.007136060894386299,4.204
xlm-roberta-base,9,115,30,0.01,0.009039010466222646,1.1063157894736841
xlm-roberta-base,9,116,30,0.0033333333333333335,0.005550269584522677,0.6005714285714286
xlm-roberta-base,9,118,30,0.013333333333333334,0.01585791309863622,0.8408000000000001
xlm-roberta-base,9,119,30,0.013333333333333334,0.006660323501427212,2.001904761904762
xlm-roberta-base,9,120,30,0.04666666666666667,0.03679035838883603,1.268448275862069
xlm-roberta-base,9,124,30,0.006666666666666667,0.0034887408816999684,1.910909090909091
xlm-roberta-base,9,128,30,0.006666666666666667,0.004440215667618141,1.5014285714285716
xlm-roberta-base,9,130,30,0.023333333333333334,0.022042499207104344,1.0585611510791368
xlm-roberta-base,9,140,30,0.03666666666666667,0.04773231842689502,0.7681727574750831
xlm-roberta-base,9,142,30,0.02,0.018395179194418014,1.0872413793103448
xlm-roberta-base,9,145,30,0.013333333333333334,0.01157627656200444,1.1517808219178083
xlm-roberta-base,9,147,30,0.013333333333333334,0.0036473200126863306,3.6556521739130434
xlm-roberta-base,9,149,30,0.06,0.03853472882968601,1.557037037037037
xlm-roberta-base,9,154,30,0.02,0.017443704408499842,1.1465454545454545
xlm-roberta-base,9,157,30,0.02,0.012210593085949888,1.637922077922078
xlm-roberta-base,9,159,30,0.013333333333333334,0.010624801776086268,1.2549253731343284
xlm-roberta-base,9,162,30,0.043333333333333335,0.019029495718363463,2.277166666666667
xlm-roberta-base,9,163,30,0.013333333333333334,0.008563273073263558,1.5570370370370372
xlm-roberta-base,9,164,30,0.0,0.007294640025372661,0.0
xlm-roberta-base,9,167,30,0.056666666666666664,0.03758325404376784,1.5077637130801687
xlm-roberta-base,9,169,30,0.0033333333333333335,0.010624801776086268,0.3137313432835821
xlm-roberta-base,9,170,30,0.013333333333333334,0.010624801776086268,1.2549253731343284
xlm-roberta-base,9,172,30,0.006666666666666667,0.004123057405645417,1.6169230769230771
xlm-roberta-base,9,173,30,0.01,0.0060260069774817635,1.6594736842105264
xlm-roberta-base,9,181,30,0.02,0.012210593085949888,1.637922077922078
