model,layer,pool,iso,intra_mean,inter_mean,delta,cohens_d,p_welch,p_perm,ci_lower,ci_upper,rsa_rho,rsa_p,n_intra,n_inter
xlm-roberta-base,0,mean,1,0.04159565269947052,0.002899192040786147,0.03869646042585373,0.36196998211963466,1.521104096177377e-49,0.000999000999000999,0.03416302129626274,0.044040563888847827,0.07155975782311028,0.0,3400,3400
xlm-roberta-base,3,char,0,0.9490801692008972,0.9479670524597168,0.00111311674118042,0.0452641148722137,0.06205350401550038,0.022977022977022976,1.2007355690002451e-05,0.002278746664524078,0.01063391244365691,4.312294008541576e-51,3400,3400
xlm-roberta-base,3,char,1,0.0343221090734005,0.001714800950139761,0.0326073095202446,0.28598776575731993,8.98826205906818e-32,0.000999000999000999,0.027168304100632666,0.038170128129422665,0.058102416783608724,0.0,3400,3400
xlm-roberta-base,3,mean,0,0.9749290347099304,0.9744595885276794,0.00046944618225097656,0.04192205304513067,0.08391671243598624,0.03496503496503497,-5.688071250915527e-05,0.0010052576661109924,0.013174466489393487,1.9177038222520193e-77,3400,3400
xlm-roberta-base,3,mean,1,0.03379318118095398,0.001915783854201436,0.03187739849090576,0.2767289073590554,7.075261289305233e-30,0.000999000999000999,0.026158011332154275,0.037664853315800426,0.04802880960780351,0.0,3400,3400
xlm-roberta-base,6,char,0,0.9251118302345276,0.9246527552604675,0.0004590749740600586,0.011708472532783872,0.629288269675315,0.29270729270729273,-0.001348985731601715,0.002263464033603668,0.011944058829912984,5.531070136564379e-64,3400,3400
xlm-roberta-base,6,char,1,0.03210889920592308,-0.0016351472586393356,0.03374404460191727,0.2340117451103978,6.911150410324021e-22,0.000999000999000999,0.02677706955000758,0.040535152144730094,0.0363411141613755,0.0,3400,3400
xlm-roberta-base,6,mean,0,0.9554851055145264,0.9554796814918518,5.424022674560547e-06,0.0002592601620870441,0.99163332538388,0.47652347652347654,-0.0009751707315444946,0.0009793952107429503,0.014305579720116252,5.6521464104989e-91,3400,3400
xlm-roberta-base,6,mean,1,0.031526148319244385,-0.0016321568982675672,0.033158306032419205,0.22897842951240893,4.9800933235356314e-21,0.000999000999000999,0.026109418459236623,0.04011301258578896,0.03230872068366156,0.0,3400,3400
xlm-roberta-base,9,char,0,0.9390146732330322,0.9392033815383911,-0.00018870830535888672,-0.005800259749370342,0.8109768162015747,0.5724275724275725,-0.0016199380159378051,0.0012779563665390014,0.01190592401591316,1.3773485119249647e-63,3400,3400
xlm-roberta-base,9,char,1,0.029367653653025627,-3.8705504266545177e-05,0.029406359419226646,0.19895970541223654,2.7776153793876406e-16,0.000999000999000999,0.022226556809619068,0.03673649076372385,0.03239087621353081,0.0,3400,3400
xlm-roberta-base,9,mean,0,0.9584377408027649,0.9590129256248474,-0.0005751848220825195,-0.026063943819645895,0.28258653726022975,0.8641358641358642,-0.0015541344881057739,0.0004285007715225219,0.0075661892398601795,1.0436007192174722e-26,3400,3400
xlm-roberta-base,9,mean,1,0.02876192517578602,-0.0005702178459614515,0.02933214232325554,0.19919101460949956,2.567119074137875e-16,0.000999000999000999,0.022245851019397377,0.03665478331968188,0.02884190409179609,0.0,3400,3400
xlm-roberta-base,12,char,0,0.99180668592453,0.9918554425239563,-4.875659942626953e-05,-0.010902672681651905,0.6530549767325368,0.6673326673326674,-0.00025113821029663084,0.0001664042472839355,0.01079387697845805,1.3811123755175196e-52,3400,3400
xlm-roberta-base,12,char,1,0.027633149176836014,0.0002778771740850061,0.027355272322893143,0.19043956211151652,4.730498429051016e-15,0.000999000999000999,0.02051832191646099,0.03396816393360495,0.029751234541043146,0.0,3400,3400
xlm-roberta-base,12,mean,0,0.9971877932548523,0.997287392616272,-9.959936141967773e-05,-0.02499969996589217,0.30298484287316363,0.8401598401598401,-0.00029383301734924315,7.203221321105954e-05,0.008702890751595865,8.524814850629239e-35,3400,3400
xlm-roberta-base,12,mean,1,0.027646945789456367,0.0009509160881862044,0.02669603005051613,0.1861601006054976,1.879693590142359e-14,0.000999000999000999,0.020083084562793375,0.033699020836502315,0.030045726558411846,0.0,3400,3400
bert-base-multilingual-cased,0,char,0,0.17110984027385712,0.14641718566417694,0.024692654609680176,0.17014873220305635,2.5182380568555708e-12,0.000999000999000999,0.018112289905548095,0.03145656995475292,0.045687704084809044,0.0,3400,3400
bert-base-multilingual-cased,0,char,1,0.04968739300966263,0.01824740134179592,0.03143998980522156,0.1920205037367468,2.821803654382302e-15,0.000999000999000999,0.02390958312898874,0.03890205165371298,0.052923210201436796,0.0,3400,3400
bert-base-multilingual-cased,0,mean,0,0.6318576335906982,0.6213195323944092,0.010538101196289062,0.16430392318223846,1.354892396046571e-11,0.000999000999000999,0.007634414732456208,0.013442552089691162,0.05191436382428684,0.0,3400,3400
bert-base-multilingual-cased,0,mean,1,0.04968739300966263,0.018247399479150772,0.031439993530511856,0.19202050617851144,2.821788758332248e-15,0.000999000999000999,0.023909584945067765,0.03890205165371298,0.057939289216817826,0.0,3400,3400
bert-base-multilingual-cased,1,char,0,0.42910850048065186,0.4077727794647217,0.021335721015930176,0.1485585152886542,9.56181190491818e-10,0.000999000999000999,0.014356224983930587,0.028268750756978985,0.021069304890037648,4.910231006583441e-195,3400,3400
bert-base-multilingual-cased,1,char,1,0.05147328972816467,0.016062181442975998,0.035411108285188675,0.20793596831835023,1.2336597072271403e-17,0.000999000999000999,0.027474249806255104,0.0434771541506052,0.04873115695798795,0.0,3400,3400
bert-base-multilingual-cased,1,mean,0,0.825951874256134,0.819071888923645,0.006879985332489014,0.12835534249839173,1.2461269038953867e-07,0.000999000999000999,0.004381658136844635,0.009519350528717042,0.015538931837509123,5.4330898936405317e-107,3400,3400
bert-base-multilingual-cased,1,mean,1,0.0521598756313324,0.016821281984448433,0.035338595509529114,0.2077167157073441,1.333335361828227e-17,0.000999000999000999,0.02738371058367193,0.043237388506531714,0.04935074409687656,0.0,3400,3400
bert-base-multilingual-cased,2,char,0,0.48034173250198364,0.46141013503074646,0.018931597471237183,0.13541008765126297,2.454253840833865e-08,0.000999000999000999,0.011969488859176636,0.02574946582317352,0.01862883031169498,6.537818614685063e-153,3400,3400
bert-base-multilingual-cased,2,char,1,0.04946621134877205,0.017163239419460297,0.03230297192931175,0.18613022479057292,1.89870464258479e-14,0.000999000999000999,0.023998146085068582,0.04074347158893942,0.04765769141635179,0.0,3400,3400
bert-base-multilingual-cased,2,mean,0,0.8440859317779541,0.8380872011184692,0.005998730659484863,0.12489181402556863,2.685122904766968e-07,0.000999000999000999,0.003625921905040741,0.00832081139087677,0.017584229182405584,1.8456856984533713e-136,3400,3400
bert-base-multilingual-cased,2,mean,1,0.05129176005721092,0.018354211002588272,0.03293754905462265,0.18921927677778122,7.034675140558715e-15,0.000999000999000999,0.024563844641670586,0.041267117112874986,0.0428685875056597,0.0,3400,3400
bert-base-multilingual-cased,3,char,0,0.5573216080665588,0.5398895740509033,0.017432034015655518,0.15666382763119577,1.1239335018167387e-10,0.000999000999000999,0.011741013824939727,0.022754681110382077,0.02299086114781931,7.667811362477073e-232,3400,3400
bert-base-multilingual-cased,3,char,1,0.051103606820106506,0.016545822843909264,0.034557782113552094,0.1915682714378465,3.272853937363837e-15,0.000999000999000999,0.025999284442514183,0.04313673302531242,0.04698120464745168,0.0,3400,3400
bert-base-multilingual-cased,3,mean,0,0.8928089141845703,0.8885084390640259,0.004300475120544434,0.14974749280875174,7.032661833548207e-10,0.000999000999000999,0.00286681205034256,0.0056660428643226625,0.021047468262124946,1.2329453296035124e-194,3400,3400
bert-base-multilingual-cased,3,mean,1,0.051909349858760834,0.017360322177410126,0.03454902768135071,0.19364669398487958,1.6504226532017559e-15,0.000999000999000999,0.02599512245506048,0.04319430207833647,0.048919258196480325,0.0,3400,3400
bert-base-multilingual-cased,4,char,0,0.6044756174087524,0.5889173746109009,0.015558242797851562,0.16215006199187867,2.4826615533952052e-11,0.000999000999000999,0.01078280359506607,0.02014847695827484,0.01998265856495221,1.2188023216913804e-175,3400,3400
