model,field,dominant_radical,n_same_radical,n_diff_radical,intra_mean,cross_mean,delta,cohens_d,p_welch,p_perm,n_intra_pairs,n_cross_pairs,p_perm_holm
bert-base-multilingual-cased,limb,130,8,6,0.3981051743030548,0.23865239322185516,0.15945278108119965,0.9845142999298555,0.0002913627601567489,0.0005998800239952009,28,48,0.009598080383923215
bert-base-multilingual-cased,kinship,38,11,7,0.26532673835754395,0.14468328654766083,0.12064345180988312,0.9249116706848367,1.5428112468554618e-06,0.0001999600079984003,55,77,0.003999200159968006
bert-base-multilingual-cased,mental,61,12,4,0.0866585522890091,0.058868277817964554,0.02779027447104454,0.20734985882970788,0.275705248882304,0.1331733653269346,66,48,0.8146370725854829
bert-base-multilingual-cased,speech,149,13,7,0.16916419565677643,0.10314412415027618,0.06602007150650024,0.4948759030216788,0.0020719531645758773,0.0005998800239952009,78,91,0.009598080383923215
bert-base-multilingual-cased,vision,109,14,4,0.1397668570280075,0.04903232306241989,0.09073453396558762,0.3909950601877939,0.008913307794808464,0.007598480303939212,91,56,0.08358328334333133
bert-base-multilingual-cased,tool,167,8,5,0.3248959183692932,0.1459207981824875,0.17897512018680573,1.5058752793954902,1.2336150236985568e-08,0.0001999600079984003,28,40,0.003999200159968006
bert-base-multilingual-cased,building,32,4,12,0.3492266833782196,0.2252265214920044,0.12400016188621521,0.7704810836741789,0.10546154712358448,0.04599080183963208,6,48,0.41391721655668867
bert-base-multilingual-cased,food_grain,119,5,9,0.2600161135196686,0.27524250745773315,-0.015226393938064575,-0.10601424437167675,0.7170802612195432,0.6170765846830634,10,45,1.0
cl-tohoku/bert-base-japanese-char-v3,water,85,23,6,0.054181426763534546,0.04917432367801666,0.005007103085517883,0.03614077605765186,0.7302423565381476,0.3735252949410118,253,138,1.0
cl-tohoku/bert-base-japanese-char-v3,metal,167,20,7,0.880645215511322,0.21337684988975525,0.6672683954238892,1.8900408575440233,2.20182897855814e-46,0.0001999600079984003,190,140,0.003999200159968006
cl-tohoku/bert-base-japanese-char-v3,wood_plant,75,18,5,0.18847042322158813,0.08452527970075607,0.10394514352083206,0.3377757611105712,0.0034426132275533114,0.003799240151969606,153,90,0.04559088182363527
cl-tohoku/bert-base-japanese-char-v3,earth,32,18,4,0.1337079107761383,0.06519638001918793,0.06851153075695038,0.2530091784373557,0.018160587449337875,0.039192161567686463,153,72,0.3819236152769446
cl-tohoku/bert-base-japanese-char-v3,stone,112,15,6,0.1840333789587021,0.0916450098156929,0.09238836914300919,0.28303875956473123,0.04499074438679104,0.024795040991801638,105,90,0.272745450909818
cl-tohoku/bert-base-japanese-char-v3,mountain,46,13,5,0.20175562798976898,0.0707089975476265,0.1310466229915619,0.4918806893820839,0.0022663846180571616,0.0015996800639872025,78,65,0.022395520895820836
cl-tohoku/bert-base-japanese-char-v3,grass_plant,140,17,5,0.06195538118481636,0.09180374443531036,-0.029848363250494003,-0.1712936817539129,0.23888552869665977,0.8864227154569086,136,85,1.0
cl-tohoku/bert-base-japanese-char-v3,sky_weather,173,7,5,0.1294255554676056,0.10257517546415329,0.0268503800034523,0.13707372857255837,0.6172095410230272,0.3149370125974805,21,35,1.0
cl-tohoku/bert-base-japanese-char-v3,bird,196,14,10,1.0000001192092896,0.06548743695020676,0.9345126748085022,2.444017660675857,3.034067973566493e-48,0.0001999600079984003,91,140,0.003999200159968006
cl-tohoku/bert-base-japanese-char-v3,fish,195,13,4,1.0000001192092896,0.44669023156166077,0.5533099174499512,1.5639797083480247,3.5318236269039988e-09,0.0001999600079984003,78,52,0.003999200159968006
cl-tohoku/bert-base-japanese-char-v3,mammal_dom,94,7,8,0.18880526721477509,-0.009840743616223335,0.19864600896835327,0.4702828316462787,0.04286563875034571,0.03819236152769446,21,56,0.3819236152769446
cl-tohoku/bert-base-japanese-char-v3,body_external,181,4,12,1.0000001192092896,0.17050528526306152,0.829494833946228,2.2257669785471834,3.7290014351481225e-19,0.0001999600079984003,6,48,0.003999200159968006
cl-tohoku/bert-base-japanese-char-v3,limb,130,8,6,0.3120998740196228,0.2713257968425751,0.04077407717704773,0.17943428542733467,0.5063425150941963,0.23735252949410118,28,48,1.0
