model,family,radical_field,target_radical,n_trials,target_logprob,distractor_logprob,delta,top1_rate,mrr
xlm-roberta-large,mlm,bird,196,3,-9.090812794367473,-7.123104397455851,-1.9677083969116218,0.0,0.31666666666666665
xlm-roberta-large,mlm,fish,195,3,-11.772884051005045,-7.499967463811239,-4.272916587193806,0.0,0.27777777777777773
xlm-roberta-large,mlm,insect,142,3,-13.456854565938313,-9.09956299463908,-4.357291571299234,0.0,0.2222222222222222
xlm-roberta-large,mlm,speech,149,3,-9.746149031321208,-8.958648935953777,-0.7875000953674309,0.3333333333333333,0.611111111111111
Qwen/Qwen2.5-1.5B,causal,water,85,5,-7.83096474647522,-9.671120986938476,1.8401562404632559,0.4,0.6333333333333333
Qwen/Qwen2.5-1.5B,causal,fire,86,4,-12.880216932296753,-11.297013807296754,-1.583203124999999,0.0,0.425
Qwen/Qwen2.5-1.5B,causal,metal,167,4,-7.234645712375641,-8.05798556804657,0.8233398556709295,1.0,1.0
Qwen/Qwen2.5-1.5B,causal,tree,75,4,-7.616032600402832,-9.433806037902832,1.8177734374999996,1.0,1.0
Qwen/Qwen2.5-1.5B,causal,bird,196,3,-7.47642609278361,-8.081894858678181,0.605468765894571,0.6666666666666666,0.8333333333333334
Qwen/Qwen2.5-1.5B,causal,fish,195,3,-7.186856238047282,-7.572272904713949,0.38541666666666696,0.6666666666666666,0.7777777777777778
Qwen/Qwen2.5-1.5B,causal,insect,142,3,-9.369341500600179,-6.5242894172668455,-2.845052083333333,0.3333333333333333,0.47222222222222227
Qwen/Qwen2.5-1.5B,causal,speech,149,3,-10.658957370122273,-11.183794657389322,0.524837287267049,1.0,1.0
Qwen/Qwen2.5-3B,causal,water,85,5,-7.826709747314453,-10.480616035461425,2.653906288146972,0.4,0.64
Qwen/Qwen2.5-3B,causal,fire,86,4,-13.230368995666504,-11.443332958221436,-1.787036037445068,0.0,0.4583333333333333
Qwen/Qwen2.5-3B,causal,metal,167,4,-7.5596143245697025,-8.491352605819703,0.9317382812500004,0.5,0.75
Qwen/Qwen2.5-3B,causal,tree,75,4,-7.675291609764099,-9.452830839157105,1.777539229393006,0.75,0.8125
Qwen/Qwen2.5-3B,causal,bird,196,3,-6.901051139831543,-7.965634489059449,1.064583349227906,0.6666666666666666,0.7777777777777777
Qwen/Qwen2.5-3B,causal,fish,195,3,-7.796806049346924,-8.20149351755778,0.40468746821085677,0.6666666666666666,0.7333333333333334
Qwen/Qwen2.5-3B,causal,insect,142,3,-9.048938131332397,-6.007531976699829,-3.0414061546325684,0.3333333333333333,0.45555555555555555
Qwen/Qwen2.5-3B,causal,speech,149,3,-10.460162766774495,-11.353782463073731,0.8936196962992362,1.0,1.0
