model,anchor_r1,r1_num,anchor_r2,r2_num,n_trials,top1_target_rate,top10_target_rate,baseline_rate,lift_top10
BAAI/bge-large-zh-v1.5,水,85,金,167,30,0.36666666666666664,0.33666666666666667,0.03758325404376784,8.95789029535865
BAAI/bge-large-zh-v1.5,水,85,心,61,30,0.06666666666666667,0.15666666666666668,0.03330161750713606,4.704476190476191
BAAI/bge-large-zh-v1.5,水,85,口,30,30,0.0,0.23666666666666666,0.05629559150015858,4.204
BAAI/bge-large-zh-v1.5,水,85,言,149,30,0.3,0.43666666666666665,0.03853472882968601,11.331769547325102
BAAI/bge-large-zh-v1.5,水,85,鸟,196,30,0.9,0.5166666666666667,0.010466222645099905,49.36515151515152
BAAI/bge-large-zh-v1.5,水,85,鱼,195,30,0.8,0.5966666666666667,0.008721852204249921,68.41054545454546
BAAI/bge-large-zh-v1.5,水,85,山,46,30,0.36666666666666664,0.42,0.012686330478908976,33.1065
BAAI/bge-large-zh-v1.5,水,85,石,112,30,0.1,0.14,0.013320647002854425,10.510000000000002
BAAI/bge-large-zh-v1.5,水,85,田,102,30,0.03333333333333333,0.06333333333333334,0.005550269584522677,11.410857142857143
BAAI/bge-large-zh-v1.5,水,85,目,109,30,0.0,0.16666666666666666,0.012210593085949888,13.64935064935065
BAAI/bge-large-zh-v1.5,火,86,水,85,30,0.4666666666666667,0.5166666666666667,0.06454170631144941,8.005159705159706
BAAI/bge-large-zh-v1.5,火,86,木,75,30,0.3333333333333333,0.5,0.047573739295908656,10.51
BAAI/bge-large-zh-v1.5,火,86,金,167,30,0.5666666666666667,0.4166666666666667,0.03758325404376784,11.086497890295359
BAAI/bge-large-zh-v1.5,火,86,心,61,30,0.13333333333333333,0.15333333333333332,0.03330161750713606,4.604380952380952
BAAI/bge-large-zh-v1.5,火,86,口,30,30,0.0,0.3,0.05629559150015858,5.329014084507042
BAAI/bge-large-zh-v1.5,火,86,言,149,30,0.4666666666666667,0.45,0.03853472882968601,11.677777777777779
BAAI/bge-large-zh-v1.5,火,86,鸟,196,30,1.0,0.5466666666666666,0.010466222645099905,52.23151515151515
BAAI/bge-large-zh-v1.5,火,86,鱼,195,30,1.0,0.6266666666666667,0.008721852204249921,71.85018181818182
BAAI/bge-large-zh-v1.5,火,86,山,46,30,0.6333333333333333,0.39666666666666667,0.012686330478908976,31.26725
BAAI/bge-large-zh-v1.5,火,86,石,112,30,0.06666666666666667,0.06333333333333334,0.013320647002854425,4.75452380952381
BAAI/bge-large-zh-v1.5,火,86,田,102,30,0.03333333333333333,0.03666666666666667,0.005550269584522677,6.606285714285714
BAAI/bge-large-zh-v1.5,火,86,目,109,30,0.06666666666666667,0.11666666666666667,0.012210593085949888,9.554545454545455
BAAI/bge-large-zh-v1.5,木,75,水,85,30,0.4,0.5233333333333333,0.06454170631144941,8.108452088452088
BAAI/bge-large-zh-v1.5,木,75,火,86,30,0.8333333333333334,0.75,0.021408182683158895,35.03333333333333
BAAI/bge-large-zh-v1.5,木,75,金,167,30,0.4666666666666667,0.33666666666666667,0.03758325404376784,8.95789029535865
BAAI/bge-large-zh-v1.5,木,75,心,61,30,0.16666666666666666,0.16,0.03330161750713606,4.804571428571428
BAAI/bge-large-zh-v1.5,木,75,口,30,30,0.0,0.3333333333333333,0.05629559150015858,5.9211267605633795
BAAI/bge-large-zh-v1.5,木,75,言,149,30,0.43333333333333335,0.4066666666666667,0.03853472882968601,10.553251028806585
BAAI/bge-large-zh-v1.5,木,75,鸟,196,30,0.9333333333333333,0.4766666666666667,0.010466222645099905,45.54333333333334
BAAI/bge-large-zh-v1.5,木,75,鱼,195,30,0.9666666666666667,0.6833333333333333,0.008721852204249921,78.34727272727272
BAAI/bge-large-zh-v1.5,木,75,山,46,30,0.5,0.5066666666666667,0.012686330478908976,39.938
BAAI/bge-large-zh-v1.5,木,75,石,112,30,0.0,0.05333333333333334,0.013320647002854425,4.003809523809524
BAAI/bge-large-zh-v1.5,木,75,田,102,30,0.0,0.02666666666666667,0.005550269584522677,4.804571428571429
BAAI/bge-large-zh-v1.5,木,75,目,109,30,0.16666666666666666,0.24666666666666667,0.012210593085949888,20.20103896103896
BAAI/bge-large-zh-v1.5,金,167,水,85,30,0.23333333333333334,0.32,0.06454170631144941,4.958034398034398
BAAI/bge-large-zh-v1.5,金,167,火,86,30,0.7,0.75,0.021408182683158895,35.03333333333333
BAAI/bge-large-zh-v1.5,金,167,木,75,30,0.23333333333333334,0.5,0.047573739295908656,10.51
BAAI/bge-large-zh-v1.5,金,167,心,61,30,0.26666666666666666,0.15,0.03330161750713606,4.5042857142857144
BAAI/bge-large-zh-v1.5,金,167,口,30,30,0.0,0.37333333333333335,0.05629559150015858,6.631661971830986
BAAI/bge-large-zh-v1.5,金,167,言,149,30,0.3333333333333333,0.31666666666666665,0.03853472882968601,8.217695473251029
BAAI/bge-large-zh-v1.5,金,167,鸟,196,30,0.9,0.51,0.010466222645099905,48.72818181818182
BAAI/bge-large-zh-v1.5,金,167,鱼,195,30,0.9333333333333333,0.56,0.008721852204249921,64.20654545454546
BAAI/bge-large-zh-v1.5,金,167,山,46,30,0.4,0.36666666666666664,0.012686330478908976,28.902499999999996
BAAI/bge-large-zh-v1.5,金,167,石,112,30,0.13333333333333333,0.13666666666666666,0.013320647002854425,10.259761904761904
BAAI/bge-large-zh-v1.5,金,167,田,102,30,0.06666666666666667,0.07,0.005550269584522677,12.612000000000002
BAAI/bge-large-zh-v1.5,金,167,目,109,30,0.06666666666666667,0.14333333333333334,0.012210593085949888,11.73844155844156
BAAI/bge-large-zh-v1.5,心,61,水,85,30,0.23333333333333334,0.4533333333333333,0.06454170631144941,7.023882063882064
BAAI/bge-large-zh-v1.5,心,61,火,86,30,0.7,0.8233333333333334,0.021408182683158895,38.458814814814815
BAAI/bge-large-zh-v1.5,心,61,木,75,30,0.36666666666666664,0.44666666666666666,0.047573739295908656,9.388933333333334
BAAI/bge-large-zh-v1.5,心,61,金,167,30,0.6,0.49666666666666665,0.03758325404376784,13.215105485232067
BAAI/bge-large-zh-v1.5,心,61,口,30,30,0.0,0.25333333333333335,0.05629559150015858,4.50005633802817
BAAI/bge-large-zh-v1.5,心,61,言,149,30,0.13333333333333333,0.36333333333333334,0.03853472882968601,9.428724279835391
BAAI/bge-large-zh-v1.5,心,61,鸟,196,30,0.9666666666666667,0.5733333333333334,0.010466222645099905,54.77939393939394
BAAI/bge-large-zh-v1.5,心,61,鱼,195,30,1.0,0.5366666666666666,0.008721852204249921,61.53127272727272
